Round of 64,
Duke,North Dakota State
Virginia Commonwealth,Central Florida
Mississippi State,Liberty
Virginia Tech,Saint Louis
Maryland,Belmont
Louisiana State,Yale
Louisville,Minnesota
Michigan State,Bradley
Gonzaga,Fairleigh Dickinson
Syracuse,Baylor
Marquette,Murray State
Florida State,Vermont
Buffalo,Arizona State
Texas Tech,Northern Kentucky
Nevada,Florida
Michigan,Montana
Virginia,Gardner-Webb
Mississippi,Oklahoma
Wisconsin,Oregon
Kansas State,UC-Irvine
Villanova,Saint Mary's (CA)
Purdue,Old Dominion
Cincinnati,Iowa
Tennessee,Colgate
North Carolina,Iona
Utah State,Washington
Auburn,New Mexico State
Kansas,Northeastern
Iowa State,Ohio State
Houston,Georgia State
Wofford,Seton Hall
Kentucky,Abilene Christian
NEXT ROUND
Duke,Central Florida
Mississippi State,Virginia Tech
Maryland,Louisiana State
Louisville,Michigan State
Gonzaga,Syracuse
Marquette,Florida State
Buffalo,Texas Tech
Nevada,Michigan
Virginia,Oklahoma
Wisconsin,Kansas State
Villanova,Purdue
Cincinnati,Tennessee
North Carolina,Washington
Auburn,Kansas
Iowa State,Houston
Wofford,Kentucky
NEXT ROUND
Duke,Virginia Tech
Louisiana State,Michigan State
Gonzaga,Florida State
Texas Tech,Michigan
Virginia,Wisconsin
Purdue,Tennessee
North Carolina,Kansas
Houston,Kentucky
NEXT ROUND
Duke,Michigan State
Gonzaga,Michigan
Virginia,Tennessee
North Carolina,Kentucky
NEXT ROUND
Duke,Michigan
Virginia,North Carolina
NEXT ROUND
Duke,Virginia
CHAMPION:,Virginia
